3000	 0.2	 Bubonic Bitch	 0.8	 0.4
Next Time Step Initiating...
Person#137 has Survived the disease
person#147 has infected person#1182
person#147 has infected person#851
person#147 has infected person#1539
person#147 has infected person#560
person#147 has infected person#1563
person#147 has infected person#1898
person#147 has infected person#10
person#147 has infected person#1708
person#147 has infected person#116
person#147 has infected person#489
person#147 has infected person#2356
person#147 has infected person#2839
person#147 has infected person#216
person#147 has infected person#199
person#147 has infected person#2572
person#147 has infected person#2819
person#147 has infected person#52
person#147 has infected person#1152
person#147 has infected person#667
person#147 has infected person#2061
person#147 has infected person#312
person#147 has infected person#1401
person#147 has infected person#1247
person#147 has infected person#485
person#147 has infected person#2843
person#147 has infected person#928
person#147 has infected person#859
Person#147 has died
person#153 has infected person#457
person#153 has infected person#1921
person#153 has infected person#177
person#153 has infected person#819
person#153 has infected person#1439
person#153 has infected person#2200
person#153 has infected person#2971
person#153 has infected person#2414
person#153 has infected person#1737
person#153 has infected person#1287
person#153 has infected person#2886
person#153 has infected person#2957
person#153 has infected person#1576
person#153 has infected person#1818
person#153 has infected person#1505
person#153 has infected person#430
person#153 has infected person#488
person#153 has infected person#691
person#153 has infected person#815
person#153 has infected person#1655
person#153 has infected person#2094
person#153 has infected person#442
person#153 has infected person#121
person#153 has infected person#1339
person#153 has infected person#827
Person#153 has died
person#155 has infected person#487
person#155 has infected person#134
person#155 has infected person#2892
person#155 has infected person#1764
person#155 has infected person#1603
person#155 has infected person#1312
person#155 has infected person#2418
person#155 has infected person#1500
person#155 has infected person#2391
person#155 has infected person#1014
person#155 has infected person#2427
person#155 has infected person#2818
person#155 has infected person#1382
person#155 has infected person#2205
person#155 has infected person#1725
person#155 has infected person#2408
person#155 has infected person#1296
person#155 has infected person#1598
person#155 has infected person#843
person#155 has infected person#2733
person#155 has infected person#2518
person#155 has infected person#876
person#155 has infected person#194
person#155 has infected person#1283
person#155 has infected person#1914
Person#155 has died
person#163 has infected person#1894
person#163 has infected person#1680
person#163 has infected person#1689
person#163 has infected person#786
person#163 has infected person#151
person#163 has infected person#1117
person#163 has infected person#81
person#163 has infected person#2464
person#163 has infected person#966
person#163 has infected person#2151
person#163 has infected person#717
person#163 has infected person#1672
person#163 has infected person#593
person#163 has infected person#2481
person#163 has infected person#2750
person#163 has infected person#2869
person#163 has infected person#1046
person#163 has infected person#964
person#163 has infected person#138
person#163 has infected person#2860
person#163 has infected person#271
Person#163 has died
person#164 has infected person#1641
person#164 has infected person#2358
person#164 has infected person#745
person#164 has infected person#919
person#164 has infected person#812
person#164 has infected person#2459
person#164 has infected person#480
person#164 has infected person#2024
person#164 has infected person#2922
person#164 has infected person#1564
person#164 has infected person#2457
person#164 has infected person#117
person#164 has infected person#1072
person#164 has infected person#1876
person#164 has infected person#2838
person#164 has infected person#2921
person#164 has infected person#1049
